wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
574,0.6682,0.2267,0.9738,,0.589,0.8158,
575,0.6227,0.2563,0.9866,,0.634,0.7805,
576,0.5932,0.286,0.9968,,0.6778,0.7427,
577,0.567,0.318,1.0,,0.7215,0.7033,
578,0.5391,0.3544,0.9963,,0.7636,0.6608,
579,0.506,0.3962,0.987,,0.8032,0.6168,
580,0.4742,0.4391,0.974,,0.8404,0.5738,
581,0.4364,0.4809,0.9571,,0.8739,0.5325,
582,0.3908,0.5218,0.9355,,0.9044,0.4909,
583,0.3591,0.5646,0.909,,0.9299,0.4491,
584,0.3362,0.6095,0.8777,,0.9505,0.4089,
585,0.3055,0.6555,0.8432,,0.9657,0.372,
586,0.2765,0.6979,0.8069,,0.9794,0.3372,
587,0.247,0.7361,0.7667,,0.9915,0.3046,
588,0.2162,0.7724,0.7202,,0.9989,0.2742,
589,0.19,0.8093,0.6687,,1.0,0.2469,
590,0.1714,0.8422,0.6191,,0.9979,0.2216,
591,0.1528,0.8697,0.5719,,0.9944,0.199,
592,0.1334,0.8958,0.5254,,0.989,0.1792,
593,0.118,0.9217,0.4795,,0.9821,0.1614,
594,0.1054,0.9436,0.4378,,0.9743,0.1454,
595,0.0942,0.9608,0.3988,,0.9647,0.1316,
596,0.0818,0.9781,0.3612,,0.9512,0.1196,
597,0.0728,0.9917,0.3251,,0.936,0.1084,
598,0.0669,0.9988,0.2921,,0.9207,0.0984,
599,0.0579,1.0,0.2626,,0.9058,0.0903,
600,0.0404,0.998,0.2356,,0.8872,0.0832,
601,0.0315,0.9988,0.2105,,0.8688,0.0763,
602,0.027,0.9946,0.1868,,0.8494,0.0705,
603,0.0235,0.9829,0.1645,,0.8289,0.066,
604,0.0225,0.9691,0.144,,0.8108,0.0623,
605,0.0205,0.9597,0.1264,,0.796,0.0589,
606,0.0168,0.9556,0.1116,,0.7835,0.056,
607,0.0134,0.9488,0.0982,,0.7703,0.0535,
608,0.0111,0.9375,0.0867,,0.7561,0.0513,
609,0.0105,0.9239,0.0766,,0.742,0.0496,
610,0.0105,0.9119,0.0684,,0.7281,0.048,
611,0.0105,0.9007,0.0604,,0.7159,0.0464,
612,0.0101,0.8874,0.0531,,0.7037,0.045,
613,0.0091,0.8719,0.0466,,0.6911,0.0441,
614,0.0087,0.8565,0.0409,,0.6788,0.0432,
615,0.0087,0.8431,0.0363,,0.6678,0.042,
616,0.0087,0.8317,0.0327,,0.6574,0.041,
617,0.0081,0.8186,0.0291,,0.6454,0.0405,
618,0.0072,0.8038,0.0256,,0.6339,0.0405,
619,0.007,0.7904,0.0222,,0.6238,0.0404,
620,0.007,0.78,0.0198,,0.6149,0.0405,
621,0.007,0.7716,0.0184,,0.6056,0.0405,
622,0.007,0.7612,0.017,,0.5972,0.0407,
623,0.007,0.7495,0.0155,,0.5884,0.0404,
624,0.007,0.7366,0.0142,,0.5795,0.0401,
625,0.0061,0.7244,0.0132,,0.569,0.0403,
626,0.0052,0.7129,0.0117,,0.559,0.0407,
627,0.0052,0.701,0.0104,,0.5499,0.0413,
628,0.0052,0.6893,0.0096,,0.5418,0.0413,
629,0.0052,0.6803,0.0093,,0.5341,0.0412,
630,0.005,0.6743,0.0086,,0.5262,0.0407,
631,0.0041,0.6663,0.0081,,0.5168,0.0408,
632,0.0035,0.6553,0.0079,,0.5069,0.0409,
633,0.0035,0.6443,0.0077,,0.4985,0.041,
634,0.0035,0.6375,0.0073,,0.4913,0.0409,
635,0.0035,0.6302,0.0067,,0.4828,0.0409,
636,0.0035,0.6216,0.0063,,0.4733,0.0406,
637,0.0035,0.6123,0.0057,,0.465,0.0402,
638,0.0035,0.6034,0.0055,,0.4563,0.0402,
639,0.0035,0.5945,0.0056,,0.4468,0.0401,
640,0.0035,0.5873,0.0058,,0.437,0.0396,
641,0.0035,0.5822,0.0052,,0.4282,0.0385,
642,0.0035,0.5756,0.0043,,0.4196,0.038,
643,0.0035,0.5682,0.0037,,0.4107,0.0379,
644,0.0049,0.5603,0.0037,,0.4009,0.0373,
645,0.0069,0.5526,0.0034,,0.391,0.0363,
646,0.007,0.5447,0.0033,,0.382,0.0356,
647,0.007,0.5365,0.004,,0.3733,0.0354,
648,0.0071,0.5276,0.0049,,0.3636,0.0353,
649,0.0111,0.5186,0.0037,,0.3534,0.0349,
650,0.0138,0.5095,,,0.344,,
651,0.0135,0.5002,,,0.3349,,
652,0.0131,0.4923,,,0.3261,,
653,0.0127,0.4854,,,0.3171,,
654,0.0123,0.4755,,,0.3091,,
655,0.0118,0.4637,,,0.301,,
656,0.0114,0.455,,,0.2924,,
657,0.0109,0.4473,,,0.2837,,
658,0.0105,0.4388,,,0.2754,,
659,0.01,0.4308,,,0.2676,,
660,0.0096,0.4238,,,0.2606,,
661,0.0093,0.4145,,,0.2536,,
662,0.0089,0.4035,,,0.2477,,
663,0.0083,0.3923,,,0.2418,,
664,0.0072,0.3846,,,0.2354,,
665,0.007,0.3769,,,0.2264,,
666,0.007,0.3677,,,0.2185,,
667,0.0078,0.3555,,,0.2131,,
668,0.0095,0.3452,,,0.2089,,
669,0.0096,0.3371,,,0.2026,,
670,0.0087,0.3306,,,0.195,,
671,0.0087,0.3244,,,0.1877,,
672,0.0087,0.317,,,0.1826,,
673,0.0087,0.3088,,,0.1788,,
674,0.0087,0.3013,,,0.175,,
675,0.0087,0.2932,,,0.1705,,
676,0.0087,0.2841,,,0.1658,,
677,0.0087,0.2768,,,0.1608,,
678,0.0084,0.2717,,,0.1563,,
679,0.0075,0.266,,,0.1517,,
680,0.0066,0.2581,,,0.1474,,
681,0.0057,0.2507,,,0.1437,,
682,0.0047,0.2465,,,0.1404,,
683,0.0038,0.2437,,,0.1368,,
684,0.0035,0.2387,,,0.1326,,
685,0.0035,0.2301,,,0.1285,,
686,0.0035,0.2212,,,0.1252,,
687,0.0035,0.2156,,,0.1217,,
688,0.0035,0.2122,,,0.118,,
689,0.0035,0.209,,,0.1145,,
690,0.0035,0.2042,,,0.1119,,
691,0.0026,0.1981,,,0.109,,
692,0.0017,0.1912,,,0.1058,,
693,0.0017,0.1853,,,0.1029,,
694,0.0017,0.1804,,,0.0999,,
695,,0.1761,,,0.0962,,
