wavelength ,blue_ex,blue_raw,green_ex,green_raw,lime_ex,lime_raw,red_ex,em_jrgeco_filter_under blue,em_jrgeco_filter_under green,em_jrgeco_filter_under lime,em_jrgeco_filter_under red,em_525_50_under_blue,dv2_shorter_wl_under_white_led,dv2_longer_wl_under_white_led,
746.07,788.94,799.02,819.19,824.23,925.05,1227.52,846.91,799.02,826.75,715.84,771.30,814.15,773.82,967.90,
746.39,773.82,814.15,846.91,814.15,844.39,1121.66,897.33,844.39,776.34,756.17,793.98,831.79,791.46,995.63,
746.71,773.82,816.67,857.00,826.75,758.69,1212.40,834.31,728.45,806.58,761.21,829.27,788.94,771.30,867.08,
747.03,781.38,877.16,846.91,864.56,897.33,1154.42,849.43,804.06,783.90,811.63,733.49,834.31,801.54,965.38,
747.35,844.39,902.37,854.48,925.05,889.76,1124.18,902.37,799.02,791.46,836.83,821.71,788.94,720.88,950.26,
747.67,781.38,889.76,909.93,783.90,877.16,1144.34,914.97,771.30,736.01,788.94,768.78,710.80,819.19,904.89,
747.99,884.72,836.83,894.80,869.60,859.52,1151.90,867.08,796.50,791.46,736.01,816.67,799.02,801.54,892.28,
748.31,763.73,849.43,829.27,783.90,768.78,1131.74,799.02,814.15,771.30,834.31,804.06,799.02,831.79,930.09,
748.63,904.89,811.63,867.08,917.49,826.75,1116.62,846.91,801.54,862.04,773.82,756.17,811.63,763.73,892.28,
748.95,846.91,824.23,907.41,889.76,864.56,1109.05,862.04,786.42,743.57,816.67,756.17,824.23,756.17,942.70,
749.27,879.68,763.73,857.00,844.39,806.58,1129.22,879.68,728.45,783.90,761.21,761.21,834.31,831.79,955.30,
749.59,753.65,834.31,841.87,791.46,882.20,1126.70,849.43,763.73,846.91,844.39,841.87,776.34,736.01,857.00,
749.91,799.02,791.46,824.23,793.98,869.60,1139.30,912.45,799.02,783.90,799.02,791.46,809.11,793.98,884.72,
750.23,778.86,824.23,874.64,889.76,909.93,1121.66,834.31,763.73,811.63,819.19,826.75,791.46,720.88,877.16,
750.55,841.87,751.13,806.58,773.82,824.23,1101.49,821.71,857.00,836.83,783.90,776.34,786.42,738.53,960.34,
750.87,773.82,834.31,945.22,872.12,836.83,1023.35,834.31,771.30,844.39,776.34,806.58,756.17,796.50,879.68,
751.19,814.15,766.26,884.72,826.75,867.08,1167.03,937.65,763.73,834.31,761.21,854.48,846.91,851.96,920.01,
751.51,788.94,912.45,857.00,834.31,836.83,1131.74,859.52,816.67,814.15,741.05,751.13,766.26,806.58,887.24,
751.83,846.91,766.26,811.63,851.96,877.16,1164.51,788.94,804.06,748.61,736.01,889.76,791.46,781.38,844.39,
752.15,786.42,831.79,804.06,804.06,844.39,1111.57,849.43,773.82,741.05,725.93,796.50,793.98,811.63,851.96,
752.47,799.02,889.76,841.87,867.08,902.37,1091.41,846.91,811.63,819.19,778.86,829.27,846.91,801.54,816.67,
752.79,899.85,899.85,851.96,799.02,841.87,1083.85,887.24,793.98,793.98,857.00,761.21,811.63,776.34,940.18,
753.11,834.31,738.53,897.33,864.56,844.39,1068.72,844.39,806.58,778.86,801.54,806.58,831.79,809.11,804.06,
753.43,839.35,819.19,824.23,793.98,814.15,1030.92,831.79,874.64,799.02,826.75,819.19,786.42,826.75,892.28,
753.75,839.35,816.67,796.50,872.12,851.96,1051.08,791.46,768.78,788.94,743.57,841.87,781.38,804.06,857.00,
754.07,836.83,839.35,851.96,917.49,909.93,1126.70,874.64,778.86,778.86,753.65,821.71,799.02,743.57,829.27,
754.39,791.46,836.83,857.00,824.23,879.68,1129.22,844.39,751.13,751.13,806.58,829.27,796.50,766.26,778.86,
754.71,874.64,799.02,841.87,804.06,841.87,1124.18,806.58,753.65,768.78,766.26,806.58,786.42,746.09,829.27,
755.03,869.60,849.43,867.08,894.80,935.13,1214.92,940.18,884.72,844.39,849.43,836.83,854.48,874.64,877.16,
755.35,781.38,879.68,882.20,841.87,854.48,1086.37,834.31,859.52,816.67,841.87,766.26,753.65,806.58,884.72,
755.67,773.82,799.02,814.15,874.64,844.39,1041.00,796.50,781.38,849.43,771.30,741.05,713.32,801.54,877.16,
755.99,809.11,809.11,879.68,862.04,821.71,1119.14,839.35,748.61,824.23,761.21,819.19,841.87,788.94,801.54,
756.30,809.11,799.02,839.35,834.31,788.94,1121.66,839.35,811.63,746.09,781.38,829.27,796.50,781.38,859.52,
756.62,791.46,776.34,829.27,859.52,857.00,1048.56,912.45,781.38,783.90,806.58,776.34,809.11,738.53,839.35,
756.94,761.21,786.42,826.75,783.90,839.35,990.59,869.60,793.98,821.71,741.05,713.32,816.67,851.96,874.64,
757.26,862.04,841.87,839.35,846.91,872.12,1114.10,809.11,801.54,761.21,846.91,758.69,788.94,791.46,869.60,
757.58,857.00,851.96,846.91,849.43,844.39,1136.78,834.31,834.31,791.46,796.50,783.90,793.98,791.46,829.27,
757.90,801.54,844.39,811.63,801.54,862.04,1154.42,867.08,849.43,763.73,851.96,763.73,799.02,922.53,804.06,
758.22,816.67,821.71,836.83,793.98,864.56,1076.29,859.52,761.21,804.06,741.05,786.42,733.49,814.15,793.98,
758.54,801.54,801.54,809.11,771.30,879.68,1058.64,844.39,801.54,814.15,831.79,819.19,804.06,768.78,834.31,
758.86,864.56,816.67,751.13,824.23,887.24,1058.64,783.90,801.54,824.23,746.09,857.00,768.78,768.78,862.04,
759.18,819.19,778.86,844.39,841.87,917.49,1056.12,846.91,836.83,892.28,816.67,783.90,804.06,761.21,889.76,
759.50,829.27,816.67,841.87,824.23,867.08,1093.93,831.79,776.34,841.87,756.17,763.73,766.26,751.13,846.91,
759.81,816.67,821.71,816.67,857.00,897.33,1111.57,851.96,793.98,857.00,791.46,763.73,801.54,793.98,884.72,
760.13,824.23,834.31,857.00,831.79,793.98,1141.82,824.23,841.87,809.11,788.94,786.42,854.48,786.42,872.12,
760.45,685.60,904.89,867.08,836.83,819.19,1081.33,834.31,761.21,771.30,859.52,841.87,766.26,824.23,864.56,
760.77,819.19,877.16,839.35,786.42,768.78,1071.25,804.06,766.26,743.57,776.34,768.78,796.50,854.48,846.91,
761.09,859.52,862.04,879.68,932.61,889.76,1083.85,950.26,811.63,788.94,799.02,829.27,804.06,811.63,877.16,
761.41,857.00,909.93,857.00,867.08,867.08,1076.29,824.23,826.75,821.71,728.45,793.98,778.86,872.12,864.56,
761.73,801.54,811.63,869.60,831.79,897.33,1083.85,874.64,801.54,839.35,773.82,788.94,766.26,766.26,844.39,
762.04,788.94,725.93,796.50,834.31,829.27,1030.92,796.50,793.98,811.63,814.15,768.78,758.69,836.83,889.76,
762.36,811.63,763.73,776.34,748.61,841.87,1013.27,831.79,763.73,756.17,809.11,705.76,841.87,758.69,788.94,
762.68,849.43,751.13,821.71,872.12,872.12,1109.05,897.33,806.58,809.11,824.23,809.11,829.27,768.78,836.83,
763.00,804.06,804.06,907.41,814.15,851.96,1056.12,806.58,862.04,804.06,836.83,839.35,793.98,776.34,879.68,
763.32,768.78,862.04,907.41,816.67,857.00,1063.68,836.83,781.38,867.08,834.31,758.69,791.46,816.67,849.43,
763.64,746.09,849.43,884.72,814.15,834.31,1023.35,793.98,791.46,819.19,743.57,793.98,768.78,763.73,859.52,
763.95,864.56,806.58,867.08,809.11,816.67,1048.56,741.05,766.26,809.11,806.58,766.26,831.79,758.69,892.28,
764.27,864.56,768.78,841.87,836.83,834.31,1068.72,872.12,778.86,819.19,806.58,819.19,801.54,788.94,839.35,
764.59,854.48,806.58,869.60,826.75,920.01,1083.85,814.15,773.82,821.71,874.64,859.52,824.23,768.78,869.60,
